ISSN,Ejis 2007,EjisCI 2007,Wie 2008,HEC 2011,UQ 2011,ABS 2015,Vhb 2015,Abdc 2016,Ess 2016,Fnege 2016,Cnrs 2017,Den 2017,Hceres 2017
1058-6407,3,4,2,2,,4,2,2,,3,2,1,1
1059-0560,,,,4,3,4,,2,5,,,2,
1062-9769,3,3,,3,3,4,4,3,,,4,2,2
1074-3529,,,,,,4,,3,,,,2,
1080-8620,,,,,,3,,2,2,4,4,2,2
1088-1980,1,2,,,,4,2,,,,,1,
1091-1421,3,3,2,,,,4,3,,,5,2,3
1094-2025,,,,2,,3,,1,,,3,1,1
1097-3923,,,2,3,,4,,2,4,,3,2,1
1121-7081,3,3,2,,,5,,3,,,4,2,2
1350-178X,,,,,,4,,3,,,3,2,1
1350-4851,4,4,2,,,5,,3,4,,5,2,3
1354-7860,3,3,,,,5,,3,,,,2,
1357-1516,3,3,2,,,4,6,3,,,4,2,2
1361-374X,,,,,,4,,3,,,4,2,2
1361-4916,,,,,,3,,3,,,3,2,1
1363-7029,3,4,,,,5,,3,,,,2,
1364-985X,,,,,,4,,2,,,4,2,2
1365-1005,,,,3,,4,,2,4,,3,2,1
1368-4221,,,2,2,,3,,2,3,,3,1,1
1381-4338,,,2,2,,3,,1,,,2,1,1
1386-4157,,,,,,3,2,1,,,2,1,1
1463-6786,3,3,,,,4,,3,,,4,2,2
1465-6485,3,3,2,,,4,4,3,,,4,2,2
1467-8292,2,2,,,,4,,3,,5,,2,3
1468-2702,,,,,,2,,2,,,2,1,1
1475-1461,,,,,,3,4,4,4,,4,1,2
1479-2931,,,,,,5,,3,,,,2,
1479-8409,,,,2,,3,4,2,4,,4,1,2
1514-0326,2,2,2,3,,5,,3,,,,2,
1542-4766,,,2,1,,2,2,1,2,,2,1,1
1573-9414,3,3,,,,5,,3,,,5,2,3
1610-2878,3,3,2,,,4,,3,,,3,2,1
1932-8575,,,,,,,,2,,,3,2,1
1933-6837,,,,,,3,,1,,,2,1,1
1935-1690,,,,4,,4,,2,,,3,2,1
1935-1704,,,,3,,4,,2,4,,3,2,1
1945-7669,,,,2,,3,,1,,,2,1,
1945-7707,,,,2,,3,,1,,,2,1,
1945-7731,,,,2,,3,,1,,,3,1,
1945-7782,,,,2,,3,,1,,,3,1,
2041-4161,3,3,,4,,,,2,,,4,2,2
2193-8997,,,,,,4,,2,,,,2,
2194-6108,,,,4,,4,,,,,3,2,1
8756-6222,1,2,2,,,3,4,2,2,,2,1,1
1014-9562,4,4,,,,4,8,3,,,,2,
1354-8166,3,4,,,,4,,2,,,,2,
0047-2778,3,3,2,,2,3,4,2,4,3,3,1,1
0266-2426,4,4,,,2,3,6,2,,3,3,1,1
0883-9026,2,2,2,1,1,2,2,1,2,1,2,1,1
0898-5626,4,4,,,2,3,4,2,,4,4,1,2
0921-898X,3,3,2,,2,3,4,2,3,3,3,1,1
1042-2587,3,3,,2,2,2,2,1,3,2,2,1,1
1043-8599,3,3,,,3,4,4,3,,4,3,2,1
1355-2554,4,4,,,3,4,6,3,,5,5,2,3
1462-6004,4,4,,,4,4,8,4,,5,5,2,3
1465-7503,4,4,,,4,4,6,4,,5,5,2,3
2009-2822,,,,,,,,,,,,2,
0001-3072,2,3,2,2,2,3,4,2,3,3,4,1,1
0001-4788,3,3,2,3,2,3,4,2,4,4,4,2,2
0001-4826,1,1,1,1,1,1,1,1,1,1,1,1,1
0015-198X,2,2,,4,2,3,4,2,3,4,,2,2
0020-7063,4,4,2,3,4,3,4,2,3,4,4,,2
0021-8448,4,4,,,,,8,4,,,,2,
0021-8456,1,1,1,1,1,1,1,1,1,2,2,1,1
0022-1082,1,1,1,1,1,1,1,1,1,1,1,1,1
0022-1090,1,1,2,1,1,2,2,1,1,2,2,1,1
0022-2879,2,2,2,2,1,2,2,1,3,,2,1,1
0022-4367,3,3,2,,,3,2,2,3,3,3,1,1
0036-1399,4,4,2,,,,,2,,,,1,
0036-1410,4,4,2,,,,,,,,,1,
0046-3892,2,2,2,3,2,3,4,2,3,3,3,1,1
0095-4918,2,3,,3,2,4,4,2,3,4,4,2,2
0143-5671,4,4,,,,4,6,3,,,4,2,2
0148-4184,4,4,,3,3,4,6,3,,5,4,2,2
0148-558X,2,2,2,2,2,3,4,2,3,4,4,2,2
0155-9982,,,,4,3,3,6,3,,,5,2,3
0165-4101,1,1,1,1,1,1,1,1,1,2,2,1,1
0198-9073,,,,,2,3,4,2,,,,,
0219-0249,,,,,3,4,4,3,4,4,4,2,2
0261-5606,2,2,2,3,2,3,4,2,3,,3,2,1
0267-4424,4,4,,4,2,3,6,2,4,4,4,1,2
0268-6902,4,4,,3,3,4,6,3,,5,5,2,3
0270-2592,3,3,2,4,2,3,6,2,4,4,4,2,2
0270-7314,2,2,2,3,2,3,4,2,3,4,4,2,2
0278-0380,2,2,,2,2,3,4,1,3,3,3,1,1
0278-4254,2,2,2,2,2,3,4,2,3,3,3,2,1
0304-405X,1,1,1,1,1,1,1,1,1,2,2,1,1
0306-686X,2,2,2,2,2,3,4,2,3,3,3,1,1
0307-4358,4,4,,4,4,5,,3,4,5,5,2,3
0361-3682,1,1,1,1,1,1,2,1,1,2,2,1,1
0378-4266,2,2,2,2,1,3,2,1,2,2,3,1,1
0515-0361,,,,,,4,2,2,3,4,4,1,2
0732-8516,4,4,,4,2,3,5,2,4,4,5,2,2
0737-4607,2,2,2,2,2,3,4,2,,4,4,2,2
0739-3172,3,3,,4,2,4,6,2,4,,,2,
0748-5751,4,4,,4,2,4,6,3,,,,2,
0752-6180,,,,4,,,,4,3,3,3,,1
0810-5391,3,3,,3,2,4,6,2,4,4,4,2,2
0823-9150,1,2,2,1,1,2,2,1,2,2,3,1,1
0882-6110,2,3,,3,,4,6,3,,,,2,
0888-7993,2,2,2,3,2,3,4,2,4,3,4,1,1
0890-8389,4,4,,3,2,3,6,2,4,4,4,2,2
0893-9454,1,1,1,1,1,1,1,1,1,2,2,1,1
0895-5638,3,3,,,3,3,,2,3,4,4,2,2
0896-5803,,,,,,,4,3,3,,,2,
0897-3660,,,,4,,,,,,4,4,,2
0920-8550,4,4,,4,3,3,6,2,4,4,4,2,2
0924-865X,2,2,2,4,3,3,4,3,,4,4,2,2
0927-538X,4,4,,4,2,4,,2,,4,5,2,2
0927-5398,2,2,2,3,2,3,4,2,3,3,4,1,1
0927-7544,,,,,,,,4,4,,,2,
0929-1199,2,2,2,2,1,2,4,1,2,3,3,1,1
0949-2984,2,3,2,2,2,3,4,2,3,3,4,1,1
0951-3574,3,3,2,2,1,3,4,2,3,4,3,1,2
0954-1314,4,4,,3,3,4,6,3,4,,,2,
0960-1627,2,2,2,2,1,3,4,2,2,3,3,1,1
0963-8008,2,2,,4,3,3,6,3,,4,4,2,2
0963-8180,3,3,2,1,2,3,2,1,3,3,3,1,1
0963-9284,,,,,,4,6,3,,,,2,
1030-9616,,,,,3,4,6,3,,,,2,
1032-3732,,,,3,,4,6,3,4,4,5,2,2
1035-6908,4,4,,,3,4,6,3,5,,,2,
1042-4431,4,4,,3,2,3,6,2,,,4,2,2
1042-444X,4,4,,,3,4,,3,4,5,5,2,3
1042-9573,2,2,2,2,2,2,2,1,3,3,3,1,1
1044-0283,,,,4,3,4,6,3,,5,,2,3
1044-5005,2,2,2,2,2,3,2,1,3,3,3,1,1
1045-2354,3,3,2,3,2,3,4,2,3,4,4,2,2
1049-2127,3,3,2,2,1,4,4,2,3,4,4,1,2
1050-4753,2,2,2,2,2,3,4,2,4,4,4,1,2
1052-0457,,,,,,4,6,3,,,,,
1055-0925,,,,,3,,6,3,4,,,2,
1057-5219,4,4,,3,3,3,,2,4,4,4,2,2
1058-3300,3,3,,,,5,4,3,4,5,5,2,3
1059-8596,,,,4,,4,4,2,,4,4,2,2
1061-9518,,,,4,,3,4,3,,,,2,
1074-1240,3,3,2,3,3,4,4,2,4,4,4,1,2
1076-9307,2,2,,,,3,,3,,,4,2,2
1078-1196,3,3,2,,2,5,6,2,,,,2,
1090-6738,,,,3,3,4,4,2,,4,4,2,2
1262-2788,,,,2,,,,,3,3,3,,1
1350-486X,2,2,2,,,,6,3,3,5,,2,3
1351-847X,3,3,2,,3,3,4,3,4,5,5,2,
1354-7798,3,3,2,4,2,3,4,2,3,4,4,2,2
1369-412X,3,3,,,2,,,2,,,,2,
1380-6645,2,2,,3,,4,2,3,3,4,5,2,2
1380-6653,2,2,2,1,2,2,2,1,2,2,2,1,1
1386-4181,3,3,,2,2,3,4,1,3,3,3,1,2
1460-1559,1,2,,,,5,4,4,,,,2,
1467-0895,,,,,2,4,6,2,,,,2,
1469-7688,,,,,,3,4,2,4,4,4,1,2
1471-7727,4,4,,2,2,3,4,1,3,3,3,1,1
1542-6297,3,3,2,4,3,4,4,2,4,4,4,2,2
1542-7560,,,,,,,4,2,,5,,2,3
1544-6123,,,,3,3,4,4,3,4,4,4,2,2
1545-9144,,,,,,,,4,,,,2,
1554-964X,3,3,,,,4,6,,4,4,3,2,1
1564-5142,4,4,,,,,,,,,,2,
1566-0141,,,,,3,4,,2,,,4,2,2
1572-3097,3,3,2,1,,2,2,1,2,2,2,1,1
1608-1625,3,3,,,3,4,6,3,,,,2,
1744-9480,,,,,,4,6,3,4,5,,2,3
1748-4995,,,,,,,,1,,,,2,
1815-5669,,,,,2,4,6,2,,,,2,
1934-4554,,,,,,,6,3,4,5,,2,3
2045-9920,,,,,,3,,1,,5,,1,3
2046-9128,,,,,,3,,1,,5,,1,3
0001-4273,1,1,1,1,1,1,1,1,1,2,2,1,1
0001-8392,1,1,1,1,1,1,1,1,1,1,1,1,1
0007-6503,4,4,,,,3,4,2,3,4,4,2,2
0007-6813,3,3,,,4,4,6,4,,,,2,
0008-1256,2,2,,,2,3,4,2,3,3,,1,
0017-8012,2,2,2,,2,3,6,2,3,3,,1,1
0022-2380,2,2,2,1,1,2,2,1,2,2,2,1,1
0023-6942,,,,,2,,,2,,,,2,
0024-6301,3,3,2,3,2,3,4,2,4,3,3,1,1
0025-1747,4,4,2,,3,4,6,3,4,4,5,2,3
0036-0805,3,3,,,,,,4,,,,,
0044-2372,2,3,2,,,,4,,,,,1,
0143-2095,1,1,1,1,1,1,2,1,1,1,1,1,1
0143-7739,4,4,,,,5,,3,,,,2,
0144-2872,3,3,,,,4,,3,,,,2,
0149-2063,2,2,2,2,1,1,2,1,2,2,2,1,1
0263-2373,4,4,,3,3,4,4,3,4,4,4,2,2
0263-2764,2,2,,,2,3,,2,,,,1,
0275-6668,4,4,,,3,,6,3,,4,4,2,2
0277-6693,2,2,2,3,2,4,4,2,3,,4,2,2
0306-3070,4,4,,4,,4,6,3,4,,,2,
0312-8962,4,4,,,2,,6,2,4,,,2,
0340-5370,4,4,,,,,6,4,,,,2,
0341-2687,2,2,2,,,,4,,,,,1,
0363-7425,1,1,1,1,1,1,1,1,1,1,1,1,1
0742-3322,3,3,,,,4,6,4,,4,3,2,1
0743-2348,4,4,,,4,,,2,,,,,
0748-4526,,,,,,4,6,3,3,,,2,
0888-4773,,,,,,4,,1,,,,2,
0893-3189,3,3,,,3,4,,3,,5,5,1,3
0926-2644,3,3,,,3,4,4,2,3,4,4,2,2
0953-4814,3,3,,4,3,4,8,3,,4,4,2,2
0953-7325,3,3,,,3,4,6,3,,4,4,2,2
0955-534X,3,3,,,3,4,,3,4,4,4,2,2
0955-6419,4,4,,,,5,6,3,,,,,
0956-5221,3,3,2,4,3,4,4,3,4,4,4,1,2
0964-4733,3,3,2,,3,3,4,3,4,4,5,2,2
1044-4068,3,3,,,3,,,2,4,,,2,
1045-3172,3,3,2,3,2,2,4,2,4,3,3,1,1
1045-3695,4,4,,,4,,6,4,,,,,
1052-5629,,,,,3,4,4,3,,,,2,
1056-4926,2,2,2,3,2,3,4,2,4,3,4,2,1
1086-0266,,,,,4,4,4,3,,4,4,2,2
1086-1718,4,4,,,4,4,,,,4,4,,2
1089-2699,,,,,,4,,3,,4,4,2,2
